,X,Y
1097,-177,61
1098,-176,62
1099,-175,63
1100,-174,61
1101,-173,61
1102,-172,62
1103,-171,63
1104,-170,64
1105,-169,69
1106,-168,69
1107,-167,72
1108,-166,72
1109,-165,74
1110,-164,77
1111,-163,88
1112,-162,90
1113,-161,96
1114,-160,103
1115,-159,103
1116,-158,111
1117,-157,111
1118,-156,111
1119,-155,108
1120,-154,109
1121,-153,106
1122,-152,111
1123,-151,109
1124,-150,110
1125,-149,107
1126,-148,108
1127,-147,114
1128,-146,115
1129,-145,114
1130,-144,113
1131,-143,112
1132,-142,117
1133,-141,120
1134,-140,115
1135,-139,116
1136,-138,129
1137,-137,135
1138,-136,145
1139,-135,150
1140,-134,142
1141,-133,147
1142,-132,144
1143,-131,146
1144,-130,142
1145,-129,136
1146,-128,116
1147,-127,112
1148,-126,96
1149,-125,81
1150,-124,77
1151,-123,74
1152,-122,72
1153,-121,71
1154,-120,71
1155,-119,69
1156,-118,69
1157,-117,68
1158,-116,68
1159,-115,68
1160,-114,68
1161,-113,67
1162,-112,67
1163,-111,67
1164,-110,65
1165,-109,65
1166,-108,64
1167,-107,64
1168,-106,64
1169,-105,64
1170,-104,63
1171,-103,64
1172,-102,63
1173,-101,64
1174,-100,64
1175,-99,64
1176,-98,63
1177,-97,64
1178,-96,63
1179,-95,63
1180,-94,63
1181,-93,63
1182,-92,63
1183,-91,63
1184,-90,63
1185,-89,65
1186,-88,65
1187,-87,67
1188,-86,67
1189,-85,67
1190,-84,67
1191,-83,67
1192,-82,68
1193,-81,68
1194,-80,68
1195,-79,68
1196,-78,67
1197,-77,68
1198,-76,68
1199,-75,69
1200,-74,68
1201,-73,69
1202,-72,68
1203,-71,68
1204,-70,69
1205,-69,68
1206,-68,69
1207,-67,68
1208,-66,68
1209,-65,69
1210,-64,68
1211,-63,68
1212,-62,68
1213,-61,68
1214,-60,68
1215,-59,68
1216,-58,68
1217,-57,68
1218,-56,68
1219,-55,68
1220,-54,68
1221,-53,68
1222,-52,67
1223,-51,68
1224,-50,68
1225,-49,67
1226,-48,68
1227,-47,68
1228,-46,68
1229,-45,69
1230,-44,69
1231,-43,70
1232,-42,69
1233,-41,70
1234,-40,67
1235,-39,69
1236,-38,69
1237,-37,70
1238,-36,70
1239,-35,70
1240,-34,69
1241,-33,70
1242,-32,68
1243,-31,70
1244,-30,70
1245,-29,70
1246,-28,68
1247,-27,66
1248,-26,62
1249,-25,62
1250,-24,62
1251,-23,64
1252,-22,67
1253,-21,69
1254,-20,68
1255,-19,69
1256,-18,68
1257,-17,68
1258,-16,69
1259,-15,70
1260,-14,69
1261,-13,71
1262,-12,71
1263,-11,71
1264,-10,70
1265,-9,70
1266,-8,68
1267,-7,69
1268,-6,69
1269,-5,69
1270,-4,68
1271,-3,69
1272,-2,69
1273,-1,70
1274,0,68
1275,1,68
1276,2,68
1277,3,69
1278,4,67
1279,5,69
1280,6,70
1281,7,71
1282,8,69
1283,9,69
1284,10,70
1285,11,70
1286,12,71
1287,13,74
1288,14,75
1289,15,77
1290,16,77
1291,17,76
1292,18,77
1293,19,79
1294,20,78
1295,21,78
1296,22,79
1297,23,80
1298,24,77
1299,25,79
1300,26,76
1301,27,79
1302,28,71
1303,29,75
1304,30,60
1305,31,64
1306,32,68
1307,33,61
1308,34,60
1309,35,52
1310,36,60
1311,37,56
1312,38,1
1313,39,1
1314,40,1
1315,41,1
1316,42,1
1317,43,524
1318,44,1
1319,45,1
1320,46,476
1321,47,1
1322,48,1
1323,49,1
1324,50,1
1325,51,486
1326,52,1
1327,53,480
1328,54,500
1329,55,483
1330,56,477
1331,57,483
1332,58,476
1333,59,479
1334,60,470
1335,61,490
1336,62,469
1337,63,491
1338,64,440
1339,65,472
1340,66,1
1341,67,1
1342,68,1
1343,69,1
1344,70,1
1345,71,1
1346,72,1
1347,73,1
1348,74,1
1349,75,1
1350,76,1
1351,77,1
1352,78,1
1353,79,284
1354,80,1
1355,81,312
1356,82,1
1357,83,1
1358,84,302
1359,85,275
1360,86,1
1361,87,1
1362,88,1
1363,89,291
1364,90,321
1365,91,1
1366,92,1
1367,93,1
1368,94,1
1369,95,1
1370,96,1
1371,97,317
1372,98,1
1373,99,1
1374,100,1
1375,101,1
1376,102,1
1377,103,1
1378,104,1
1379,105,1
1380,106,1
1381,107,1
1382,108,1
1383,109,1
1384,110,1
1385,111,1
1386,112,1
1387,113,1
1388,114,1
1389,115,1
1390,116,1
1391,117,1
1392,118,1
1393,119,1
1394,120,1
1395,121,1
1396,122,1
1397,123,12
1398,124,1
1399,125,1
1400,126,5
1401,127,5
1402,128,8
1403,129,23
1404,130,37
1405,131,7
1406,132,1
1407,133,5
1408,134,10
1409,135,9
1410,136,14
1411,137,5
1412,138,15
1413,139,5
1414,140,5
1415,141,15
1416,142,5
